structure,remark,pos
"abalio","","s"
"abalios","","p"
"abdomen","","s"
"acnatsci","","p"
"acnatscus","","s"
"acoustico_lateralis","","s"
"actinost","","s"
"actinosts","","p"
"adiposefin","","s"
"adipose_caudal","","s"
"adnasal","","s"
"adolescent","","s"
"adolescents","","p"
"adpharyngeal","","s"
"adults","","p"
"african_type","","s"
"aggregation","","s"
"aggregations","","p"
"agulha","","s"
"agulhas","","p"
"albifron","","s"
"albifrons","","p"
"amblyopine","","s"
"amblyopines","","p"
"amblyopsi","","s"
"amblyopsid","","s"
"amblyopsids","","p"
"amblyopsis","","s"
"amieti","","p"
"amietus","","s"
"anablep","","s"
"anableps","","p"
"analfins","","p"
"anal_caudal","","s"
"ancistrini","","p"
"ancistrinus","","s"
"angles","","p"
"antenna","","s"
"antennae","","p"
"anteriors","","p"
"anterior_dorsum","","s"
"anterolaterals","","p"
"anus","","s"
"anusye","","s"
"anusyes","","p"
"aperture","","s"
"apertures","","p"
"apex","","s"
"apexes","","p"
"apices","","p"
"apparatus","","s"
"appendage","","s"
"appendages","","p"
"appendex","","s"
"appendices","","p"
"apron","","s"
"aprons","","p"
"apteronotid","","s"
"apteronotids","","p"
"aquaria","","s"
"arch","","s"
"arches","","p"
"ardo","","s"
"area","","s"
"areas","","s"
"ariid","","s"
"ariids","","p"
"arm","","s"
"arms","","p"
"arnoulti","","p"
"arnoultus","","s"
"artefact","","s"
"artefacts","","p"
"articulation","","s"
"articulations","","p"
"assemblage","","s"
"assemblages","","p"
"asterisk","","s"
"asterisks","","p"
"atomarium","","s"
"australi","","s"
"australis","","p"
"autopalatine","","s"
"axis","","s"
"a_scale","","s"
"back","","s"
"band","","s"
"bandinter_band","","s"
"bands","","p"
"band_interband","","s"
"bar","","s"
"barb","","s"
"barbel","","s"
"barbels","","p"
"barbs","","p"
"bars","","p"
"bases","","p"
"basibranchial","","s"
"basibranchials","","p"
"basihyal","","s"
"basin","","s"
"basins","","p"
"basipterygium","","s"
"basisphenoid","","s"
"berryi","","p"
"berryus","","s"
"bicuspids","","p"
"bladder","","s"
"blotch","","s"
"blotches","","p"
"bodies","","p"
"bonapartii","","p"
"bonapartius","","s"
"bone","","s"
"bones","","p"
"borders","","p"
"boundaries","","p"
"boundary","","s"
"brachia","","p"
"brachium","","s"
"bracket","","s"
"brackets","","p"
"brain","","s"
"brains","","p"
"branch","","s"
"branches","","p"
"branchiospine","","s"
"branchiospines","","p"
"branchiostegal","","s"
"branchiostegals","","p"
"bridge","","s"
"bristle","","s"
"bristles","","p"
"brush","","s"
"brushes","","p"
"bulla","","s"
"bullae","","p"
"bump","","s"
"bumps","","p"
"bundle","","s"
"bundles","","p"
"caeca","","s"
"caeruliventri","","s"
"caeruliventris","","p"
"canal","","s"
"canals","","p"
"canine","","s"
"canines","","p"
"capsule","","s"
"capsules","","p"
"cartilage","","s"
"cartilages","","p"
"cas","","s"
"case","","s"
"cases","","p"
"caudals","","p"
"caudal_lobe","","s"
"caudal_peduncle","","s"
"caudal_tail","","s"
"cavities","","p"
"cavity","","s"
"cell","","s"
"cells","","p"
"center","","s"
"centers","","p"
"centra","","s"
"centre","","s"
"centres","","p"
"centrum","","s"
"ceratobranchial","","s"
"ceratobranchials","","p"
"ceratohyal","","s"
"ceratohyals","","p"
"ceratotrichia","","p"
"ceratotrichium","","s"
"cerebellar","","s"
"cerebellari","","s"
"cerebellaris","","s"
"chamber","","s"
"chambers","","p"
"channel","","s"
"channels","","p"
"characidium","","s"
"cheek","","s"
"cheeks","","p"
"chest","","s"
"chest_scale","","s"
"chest_scales","","p"
"chin","","s"
"chomatophore","","s"
"chomatophores","","p"
"chromatophore","","s"
"chromatophores","","p"
"cichlid","","s"
"cichlids","","p"
"circuli","","p"
"circulus","","s"
"circumorbial","","s"
"circumorbital","","s"
"cirri","","p"
"cirrus","","s"
"clasper","","s"
"claspers","","p"
"cleithrum","","s"
"cloaca","","s"
"clump","","s"
"clumps","","p"
"clypeus","","s"
"collettei","","p"
"colletteus","","s"
"colliei","","p"
"collieus","","s"
"column","","s"
"columns","","p"
"commissure","","s"
"component","","s"
"components","","p"
"condyle","","s"
"condyles","","p"
"configuration","","s"
"configurations","","p"
"congener","","s"
"congeneric","","s"
"congenerics","","p"
"congeners","","p"
"content","","s"
"contents","","p"
"corner","","s"
"corners","","p"
"coxa","","s"
"coxae","","p"
"cranium","","s"
"crease","","s"
"crenulation","","s"
"crenulations","","p"
"crescent","","s"
"crescents","","p"
"crest","","s"
"crests","","p"
"cross_bars","","p"
"cross_section","","s"
"crown","","s"
"crowns","","p"
"ctenii","","p"
"ctenius","","s"
"curtain","","s"
"curves","","p"
"cusp","","s"
"cuspid","","s"
"cusplet","","s"
"cusplets","","p"
"cusps","","p"
"dash","","s"
"dashes","","p"
"dentaries","","p"
"dentation","","s"
"dentations","","p"
"denticle","","s"
"denticles","","p"
"denticulation","","s"
"denticulations","","p"
"dentiformis","","s"
"dentition","","s"
"depression","","s"
"depressions","","p"
"dermosphenotic","","s"
"desmosphenotic","","s"
"deviation","","s"
"deviations","","p"
"diastema","","s"
"dip","","s"
"disc","","s"
"discharge","","s"
"discharges","","p"
"disk","","s"
"disk_anus","","s"
"dissection","","s"
"disto_medial","","s"
"division","","s"
"divisions","","p"
"dorsalfin","","s"
"dorsalfins","","p"
"dorsals","","p"
"dorsal_spine","","s"
"dorsum","","s"
"dot","","s"
"dots","","p"
"drainage","","s"
"drainages","","p"
"drao","","s"
"drape","","s"
"drapes","","p"
"drop_off","","s"
"drop_offs","","p"
"d_type","","s"
"ectopterygoid","","s"
"edge","","s"
"edwardsii","","p"
"edwardsius","","s"
"egg","","s"
"eggs","","p"
"eigenmanni","","p"
"eigenmannus","","s"
"electroplate","","s"
"electroplates","","p"
"element","","s"
"elements","","p"
"embryo","","s"
"embryos","","p"
"end","","s"
"endopterygoid","","s"
"ends","","p"
"endsnout","","s"
"epibranchial","","s"
"epibranchials","","p"
"epicaudal_lobe","","s"
"epineural","","s"
"epineurals","","p"
"epiotic","","s"
"epiotics","","s"
"epithelia","","p"
"epithelium","","s"
"epural","","s"
"epurals","","p"
"eschmeyeri","","p"
"eschmeyerus","","s"
"ethmoid","","s"
"ethmoids","","p"
"excavation","","s"
"excavations","","p"
"exoccipital","","s"
"exoccipitals","","p"
"exorhipidion","","s"
"expansion","","s"
"expansions","","p"
"extension","","s"
"extensions","","p"
"extremities","","p"
"extremity","","s"
"eye","","s"
"eyeball","","s"
"eyeballs","","p"
"eyelid","","s"
"eyelids","","p"
"eyes","","p"
"eye_diameter","","s"
"eye_spiracle","","s"
"e_scale","","s"
"e_scales","","p"
"e_type","","s"
"face","","s"
"faces","","p"
"feet","","p"
"female","","s"
"females","","p"
"fenestra","","s"
"fenestrae","","p"
"fiber","","s"
"fibers","","p"
"fibre","","s"
"fibres","","p"
"fibroid","","s"
"fibroids","","p"
"field","","s"
"fields","","p"
"filament","","s"
"filamentosus","","s"
"filaments","","p"
"fin","","s"
"finray","","s"
"finrays","","p"
"fins","","p"
"fintip","","s"
"fintips","","p"
"fin_base","","s"
"fin_origin","","s"
"fin_spine","","s"
"first_ray","","s"
"flame","","s"
"flames","","p"
"flange","","s"
"flanges","","p"
"flanks","","p"
"flap","","s"
"flaps","","p"
"fleck","","s"
"flecks","","p"
"flesh","","s"
"fold","","s"
"folds","","p"
"fontanel","","s"
"fontanelle","","s"
"fontanelles","","p"
"fontanels","","p"
"foot","","s"
"foramen","","s"
"foramina","","p"
"forecoxa","","s"
"forecoxae","","p"
"forntal","","s"
"forntals","","p"
"fragilis","","s"
"freckle","","s"
"freckles","","p"
"frenum","","s"
"fron","","s"
"frons","","p"
"frontal","","s"
"frontals","","p"
"fundulopanchax","","s"
"furrow","","s"
"furrows","","p"
"fusion","","s"
"fusions","","p"
"f_scale","","s"
"galvi","","p"
"galvis","","s"
"gap","","s"
"gape","","s"
"gaps","","p"
"geayi","","p"
"geayus","","s"
"gena","","s"
"genae","","p"
"gill","","s"
"gillraker","","s"
"gillrakers","","p"
"gills","","p"
"gill_arch","","s"
"gill_opening","","s"
"gill_raker","","s"
"gill_slit","","s"
"girardi","","p"
"girardus","","s"
"girdle","","s"
"girdles","","s"
"glan","","s"
"gland","","s"
"glans","","p"
"glossohyal","","s"
"gobiid","","s"
"gobiids","","p"
