"taxon","16S rRNA accession #","Family","Genus","Species","Strain","Genome size","%G+C","Other genetic characteristics","Cell shape","Pigments","Cell wall","Motility","Biofilm formation","Habitat isolated from","Oxygen use","Salinity preference","pH minimum","pH optimum","pH maximum","Temperature minimum","Temperature optimum","Temperature maximum","NaCl minimum","NaCl optimum","NaCl maximum","Host","Symbiotic","Pathogenic","Disease caused","Metabolism (energy & carbon source)","Mono & di-saccharides","Polysaccharides","Amino acids","Alcohols","Fatty acids","Other energy or carbon sources","Fermentation products","Polyalkanoates (plastics)","Other metabolic product","Antibiotic sensitivity","Antibiotic resistant","Cell Size"
"Halorubrum_saccharovorum","","","","","","","71.2","","rod-shaped","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vulcanisaeta_distributa","","","","","","","45.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesoplasma_photuris","","","","","","","28.8","","coccoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloarcula_tradensis","","","","","","","62.2","","pleomorphic,rods,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acholeplasma_axanthum","","","","","","","","","coccoid,short,coccobacillary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acaryochloris.marina.MBIC11017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanosphaera_cuniculi","","","","","","","23","","pairs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_aegaeicus","","","","","","","45,45.5","","cocci,aggregates,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fischerella.muscicola.SAG2027","","","","","","","","","filaments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloarcula_marismortui","","","","","","","55,62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mycoplasma_agassizii","","","","","","","","","coccoid,pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Microcystis.aeruginosa.NIES-843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mycoplasma_auris","","","","","","","26.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ureaplasma_parvum","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Halorubrum_ejinorense","","","","","","","64.0","","rods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mycoplasma_gallinaceum","","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_syrphidicola","","","","","","","1","","filaments,helical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanolobus_tindarius","","","","","","","40","","coccoid,aggregates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
