@relation dataset

@attribute my_class_label {0,1}
@attribute text string

@data
0,' The DNA G+C content of the type strain is 48 mol\% (determined by HPLC).  '
0,' The genomic DNA G+C content of the type strain is 34.2 mol\%.  '
0,'DNA G+ C content is 33.1–34.4 mol\%.  '
0,'DNA G+ C content is 33.8–34.2 mol\%.  '
0,'DNA G+ C content is 37–42 mol\%.  '
0,'DNA G+ C content of the strains is 33.8–34.5 mol\%.  '
0,'G + C content of DNA is 39.0 to 40.4 mol\%.  '
0,'G + C content of DNA ranges from 31.3 to 32.5 mol\%; for the type strain, this value is 31.6 mol\%.  '
0,'G+C content is 48 mol\%.  '
0,'G+C content of the DNA 41.8±0.7 mol\% (HPLC determination).  '
0,'G+C content of the DNA is 31 mol\% (determined by HPLC).  '
0,'G+C content of the DNA ranges from 36 to 38 mol\% (Tm method).  '
0,'The base composition is 32.5 to 34 mol\% G+C (three strains).  '
0,'The DNA base composition ranges from 33 to 38 mol\% guanine plus cytosine. '
0,'The DNA G + C content is 32-33 mol \% (determined by HPLC).  '
0,'The DNA G + C content is 32.4 mol\% (type strain).  '
0,'The DNA G + C content of this strain is 35.4 mol\%.'
0,'The DNA G+ C \% content of type strain is 39.5 mol\% (HPLC) or 41.2 mol\% (thermal denaturation).'
0,'The DNA G+ C content is 38 mol\%.  '
0,'The DNA G+ C content is 38.7 mol \% (Alegado et al., 2011).'
0,'The DNA G+ C content is 43 mol\% (HPLC).  '
0,'The DNA G+ C content is 49.0 mol\% (HPLC).  '
0,'The DNA G+ C content of strain AS06/20aT is 38.9 mol\%.'
0,'The DNA G+ C content of the type strain is 32.7 mol\% '
0,'The DNA G+ C content of the type strain is 34.5 mol\% and the major respiratory quinone is menaquinone-6.  '
0,'The DNA G+ C content of the type strain is 36.0 mol\%.  '
0,'The DNA G+ C content of the type strain is 38.0± 0.6 mol\%.'
0,'The DNA G+ C content of the type strain is 43 mol\% (by HPLC).'
0,'The DNA G+ C content of the type strain is 43.2 mol\% (HPLC).'
0,'The DNA G+ C content of the type strain is 47 mol\% (by HPLC).'
0,'The DNA G+ C content of the type strain is 48.5 mol\%.  '
0,'The DNA G+ C content of the type strain of the type species is 40.3 mol\%.  '
0,'The DNA G+ C content of the type strain of the type species is 52.0 mol\%.  '
0,'The DNA G+C content is 33.0 mol\% (type strain).  '
0,'The DNA G+C content is 43 mol\%.  '
0,'The DNA G+C content of the species is 34.8 ± 0.1 mol\% (HPLC method).  '
0,'The DNA G+C content of the type strain is 30.7 mol \%.  '
0,'The G+ C content of the DNA is close to 39 mol\%.  '
0,'The G+ C content of the genomic DNA is 47.1 mol\%.'
0,'The G+ C content of the genomic DNA is 48.4 mol\%. '
0,'The G+C concent of the DNA of ATCC 29798 was 37 mol\%.  '
0,'The G+C content of cells is 38-39 mol\%.  '
0,'The G+C content of DNA is 38 mol\% (Vandamme et al., 1996).  '
0,'The G+C content of DNA of the strain AK12T was 46.2 mol\%.  '
0,'The G+C content of DNA of the type strain is 55 mol\%.  '
0,'The G+C content of DNA of the type strain is 57 mol\%.  '
0,'The G+C content of the DNA is 33.7 mol\% (thermal denaturation method) or 38.3 to 38.7 mol\% (bouyant density method).  '
0,'The G+C content of the DNA is 35–36 mol\% (Tm).  '
0,'The G+C content of the DNA is 37.6 ± 1.0 mol\%, and the G+C content of the DNA of the type strain is 37.0 mol\%, as estimated by the thermal denaturation method.  '
0,'The G+C content of the DNA is 49.2 mol\%.  '
