@relation dataset

@attribute my_class_label {0,1}
@attribute text string

@data
0,'On 1\% agar media the growth tends to be mainly below the surface, the colonies being recognizable after 2 to 4 days as small shallow pits.'
0,'After 2 months at room temperature no viable cells remain.'
0,'MgSO4-7H2O, 8.'
0,'KCl, 0.7.'
0,'CaCl2x2H2O, 0.5.'
0,'The nutrient requirements, ascertained in stepwise fashion according to procedures described elsewhere (Lewin 1965), proved to be simple.'
0,'Higher concentrations tend to be inhibitory if autoclaved with the medium), galactose (1 g /liter), sucrose (1 g /liter), and sodium glutamate (up to 10 g/liter).'
0,'The trace-element solution generally used in our studies with flexibacteria (see Lewin and Lounsbery 1969) is satisfactory for  F .'
0,Dorotheae.
0,'An unsuccessful attempt was made to obtain chemoautotrophic growth in which the cells might derive energy for the fixation of carbon dioxide from the oxidation of a ferrous or manganous salt.'
0,'After the media had cooled, NaHC03 solution, sterilized separately by filtration, and some suspension of  F .'
0,'Dorotheae were added.'
0,'Flasks in a duplicate set of media, supplemented with 1.0 g glucose per liter, were similarly inoculated.'
0,'Other controls were left without inoculum.'
0,'All of the flasks, tightly stoppered, were shaken constantly at 30˚ and examined periodically.'
0,'In the flasks containing manganese, with or without cellular inoculum, there appeared in a few days a brown deposit, presumably an oxide of manganese.'
0,'Where cells were present, this material encrusted their sheaths, rendering them fragile and more highly refractile as observed under phase-contrast microscopy (Fig. 5).'
0,'But there was no evidence that its deposition had been biologically controlled.'
0,'The pigment of  F .'
0,'In unpublished studies, Mr. David Fruchtenicht (now at the University of California, Davis, Calif.) showed that twice as much pigment was produced by  F .'
0,'Dorotheae in illuminated conditions (100 lux from white fluorescent tubes) as in darkness, although growth was not appreciably altered.'
0,'No qualitative change in pigment composition could be detected from inspection of absorption curves.'
0,'This value lies well within the range spanned by free-living, non-sheathed, yellow flexibacteria (Mandel and Lewin 1969).'
0,'The only known species, Flexithrix dorotheae, is described here.'
0,'(It is named in memory of Mrs. Dorothy White, a technical assistant who died in the course of these studies on flexibacteria.).'
0,'The sole type, strain QQ-3, is deposited in the American Type Culture Collection (Washington, D.C.) and, in a dried condition, in the Farlow Herbarium, Harvard University, Cambridge, Mass.'
0,'A formal description follows.'
0,'(In the absence of other congeneric species, it is as yet premature to define more closely its specific distinguishing characteristics.).'
0,'16S rRNA gene sequence analysis indicates that the genus is a member of the family Cryomorphaceae in the phylum ‘Bacteroidetes’.'
0,'The type species is Fluviicola taffensis.'
0,'The main characteristics are the same as those given for the genus.'
0,'As determined by 16S rRNA gene sequence analysis, the genus Wandonia is a member of the family Cryomorphaceae in the phylum Bacteroidetes .'
0,'The type species is Wandonia haliotis.'
0,'Exhibits the following characteristics in addition to those given in the genus description.'
0,'The major (.'
0,'Strain B0611 (= JCM 8566) is the type strain of  C .'
0,Granulosa.
0,'In contrast, Verghese et al. recently tested nine strains and found them to be susceptible to trimethoprim-sulfamethoxazole and aminoglycosides.'
0,'Colistin was not tested.'
0,'The route of infection was unknown in 20\% of the cases reviewed by Hicklin et al.'
0,'The genus is affiliated to the family Cyclobacteriaceae.'
0,'The type species is Cecembia lonarensis.'
0,'The complete fatty acid composition is given in Table 2.'
0,'Other characteristics are shown in Table 2.'
0,'The type strain is IC166T (=ACAM 630T).'
0,Chemo-organotroph.
0,'Member of the family Cytophagaceae.'
0,'The potential to metabolize different carbon sources is presented in Tables 2 and 3.'
0,'The type strain is NN015840T and has been deposited in the BCCM/ LMG Bacteria Collection as LMG 18535T.'
0,'The type strain is NN015860T and has been deposited in the BCCM/ LMG Bacteria Collection as LMG 18536T.'
