@relation dataset

@attribute my_class_label {0,1}
@attribute text string

@data
0,'Growth occurs at 10-55°C (optimum 30°C), pH 6.0-10.0 (optimum pH 7.5) and 1-20\% (w/v) NaCl, with optimal growth at 7\% (w/v) NaCl.'
0,'Hydrolysis of starch is weak.'
0,'Sensitive to (µg per disc, unless indicated) chloramphenicol (30), erythromycin (15), tetracycline (30) and vancomycin (30); resistant to amikacin (30), ampicillin (10), gentamicin (10), kanamycin (30), nalidixic acid (30), penicillin (10 IU), polymyxin B (300 IU) and streptomycin (10).'
0,'Egg yolk reaction is positive.'
0,'Growth occurs at 10-40 optimum growth at 37 37  15-43 9  o'
0,'According to API ZYM tests, activities for esterase (C4), esterase lipase (C8), leucine arylamidase, valine arylamidase, trypsin, acid phosphatase and naphthol-AS-BI-phosphohydrolase are present, whereas activities for alkaline phosphatase, lipase (C14), cystine arylamidase, α-chymotrypsin, α-galactosidase, β-galactosidase, β-glucuronidase, α-glucosidase, β-glucosidase, N-acetyl β-glucosaminidase, α-mannosidase and α-fucosidase are absent.'
0,'The type and six other strains tested did not ferment adonitol, dextrin, glycerol, inulin, or sorbose.'
0,'Cells stain Gram-negative and are non-spore-forming, non-flagellated and non-motile rods of 0.6-0.7 µm diameter and length 1.2-5.0 µm.'
0,'Growth does not occur in brain heart infusion broth containing 3\%, 4.5 and 6.5\% NaCl.'
0,'Hydrolyses agar, gelatin and skimmed milk, but not starch or Tween 80.'
0,'Grows in media containing 0.2-1.5 M NaCl, with optimal growth occurring in approximately 0.3-0.5 M NaCl.'
0,'Aerococcus vaginalis (va.gi.na′lis.'
0,'The DNA G+C content of the type strain is 33.4 mol\% ( Tm  method).'
0,'In their first publication, Olitsky and Gates (23) stated that no acid or gas was formed in glucose.'
0,'The type species is Cecembia lonarensis.'
0,'Cocci, 0.5 to 1.5 .4-0.7 t 1.1-1.2 5 s that are 0.8- 1.1 e organism was done)'
0,'The  older  colony  profile  appears  to  be  species  specific.'
0,'The type strain is MIM18T (= ACCC 05421T= KCTC 23224T), isolated from an alkaline and saline lake on the Mongolia Plateau.'
0,'Cells were  gram-positive  cocci,  0.8  to  1.2  d  occurred  pred'
0,'Cells are Gram-negative, non-motile, non-spore-forming rods.'
0,'Gelatin, casein (skim milk agar), and tyrosine are hydrolyzed.'
0,'Cells are approximately 0.3-0.4 x 2.5-6.3µm.'
0,'The description is based on that given by Savage et al. (2007) , with the following amendments.'
0,'In the API ZYM system, esterase (C4), esterase lipase (C8), leucine-, valine-and cystine arylamidases, trypsin, α-chymotrypsin, acid phosphatase and naphthol-AS-BI-phosphohydrolase activities are present, but lipase (C14), α-galactosidase, β-glucuronidase, α-and β-glucosidases, N-acetyl-β-glucosaminidase, α-mannosidase and α-fucosidase are absent.'
0,'The type strain NIO-S3T (=JCM 17885T = MTCC 11066T) and strain NIO-S4 were isolated from water samples collected from Cochin back waters, Thanneermukkom (9◦52’47.09”N 76◦19’27.82”E) and Arookutty (9◦41’17.13”N 76◦23’34.71”E) villages, respectively, Kerala State, India.'
0,'Colonies are circular, entirely margined, glistening, butyraceous and orange on MA and do not glide.'
0,'Cells are Gram-negative and non-flagellated.'
0,'Strains  had  variable acetylmethylcarbinol production.'
0,'A  more  complete  description  of  colony  morphology  and pigmentation  on P  agar  is given in  the  original  description  of  the  subspecies  (33).'
0,'The  pH  of  yeast extract-glucose broth  was  lowered  under  anaerobic conditions  from  6.8  to 5.0.'
0,'Acid, but no gas, is produced from D-glucose, L-arabinose, D-xylose, and D-mannitol.'
0,'Citrate and succinate, but not propionate, are utilized.'
0,'The type strain, JSM 076056 (=CCTCC AA 207029 =DSM 19796 =KCTC 13190), was isolated from a sea urchin collected from Leizhou Bay, South China Sea, China.'
0,'Reuszer, the person who isolated the organism).'
0,'Using API ZYM, Rapid ID-32A and RapID-ANA II systems, strains have the same profile.'
0,'Cells are short rods (in the early growth phase) or cocci (exponential and stationary growth phases).'
0,'After 72 h incubation on NA/MnSO4 or BHI-A, terminal and spherical endospores in swollen sporangia are observed.'
0,'The  type strains  of  other  staphylococcal species  show  relatedness  at  levels  of  no  more than  32\%.'
0,'Guanine-plus-cytosine content of the DNA: 32.9 mol\% (18).'
0,'Susceptible to ampicillin, carbenicillin and doxycycline; resistant to benzylpenicillin, chloramphenicol, erythromycin, gentamicin, kanamycin, lincomycin, neomycin, oleandomycin, polymyxin B, streptomycin and tetracycline.'
0,'Capable of using l-arabinose, cellobiose, d-fructose, d-galactose, d-glucose, glycerol, d-xylose or sodium succinate as a sole carbon substrate.'
0,'Acid is produced from glycerol, d-ribose, d-glucose, d-fructose, mannose, arbutin, aesculin, salicin, cellobiose, sucrose, trehalose, gentiobiose, d-tagatose and l-arabinose, but not from l-xylose, adonitol, l-sorbose, rhamnose, dulcitol, inositol, mannitol, d-sorbitol, methyl zoic acid, melibiose, l-fucose, d-sorbitol, l-arabinose, propionic acid, capric acid, trisodium citrate, l-histidine, potassium 2-ketogluconate, 4-hydroxybenzoic acid and l-proline are not assimilated.sitive, type strain positive).ine arylamidase, tyrosine a'
0,'The major quinone is menaquinone 7 (Watanuki & Aida, 1972).'
0,'The type species is Pullulanibacillus naganoensis.'
0,'They produce acetoin from pyruvate, degrade chondroitin sulfate, hydrolyse aesculin, and assimilate D-glucose, D-mannose, amygdalin and glucosamine.'
0,'Flexirubin-type pigments are not produced (negative KOH test result).'
0,'Capitis  and   S .'
0,'In medium solidified with 2\% purified agar and containing pebble-milled cellulose, zones of clearing appear within 48 h.'
0,'Can oxidize D-galactose and D-sucrose.'
0,'Growth occurs in the presence of 2-23\% NaCl (2-25\% for the type strain).'
0,'The cells of species in this genus are gram-negative, nonsporeforming, straight rods that have no flagella but may exhibit sliding motility.'
0,'Four of the human strains were tested by Joseph Gradin, Oregon State University, Corvallis.'
0,'The type strain, KMM 3944T (= KCTC 12219T= LMG 22474T), was isolated fromthe brown alga Laminaria japonica, collected in the Gulf of Peter the Great, Sea of Japan.'
0,'The genomic DNA G+ C content of the type strain of the type species is 50.9 mol\%.'
0,'Cells are non-motile cocci, approximately 1.2-2.0 µm in diameter.'
0,'Growth occurs at pH 5.5-11 (optimum pH 7.5).'
0,'The description  of   S .'
0,'The type strain is PB92T (= KCTC 12511T= DSM 19486T), isolated from soil (Daejeon, Korea).'
0,'Gen. n. valerianellae of Valerianella, the genus name of lamb\'s lettuce, the host plant).'
0,'The DNA G+C content of the type strain of the type species is 42.1 mol\%.'
0,'Acid  is not  produced  from  mannose,  maltose,  galactose,  melezitose,  lactose,  mannitol,  sorbitol,  sucrose,  raffinose,  ribose, cellobiose,  turanose  and  arabinose.'
0,'This  is  most  easily  demonstrated  with  strains  VIIIl  and  P21.'
0,'All strains grew well at 45 growth was 37 to 37ucose cultures, but abundant'
0,'The temperature range for growth is 17‒37 celsius_degree , the optimal temperature is between 30 and 37 celsius_degree , but no growth occurs at 4 or 45 celsius_degree .'
0,'L .   gen. n. sediminis of sediment).'
0,'The organism is catalase-and oxidase-positive.'
0,'In API 20NE and API ID-32 GN strips, assimilates D-glucose, L-arabinose, D-mannose, N-acetyl-D-glucosamine, maltose, sucrose, D-ribose, potassium 2-ketogluconate and potassium 5-ketogluconate.'
0,Ae.
0,'The DNA G+C content of the type strain is 37.6 mol\% (determined by HPLC).'
